frequency,time,value
1,1,217
1,2,207
1,3,195
1,4,186
1,5,191
1,6,173
1,7,161
1,8,182
1,9,170
1,10,369
1,11,384
1,12,378
1,13,400
1,14,433
1,15,370
1,16,381
1,17,365
1,18,378
1,19,378
1,20,364
1,21,389
1,22,335
1,23,365
1,24,357
1,25,366
1,26,369
1,27,389
1,28,358
1,29,339
1,30,317
1,31,348
1,32,380
1,33,342
1,34,367
1,35,379
1,36,343
1,37,370
1,38,419
1,39,401
1,40,379
1,41,347
1,42,333
1,43,361
1,44,302
1,45,307
1,46,384
1,47,364
1,48,320
1,49,378
1,50,321
1,51,299
1,52,348
1,53,288
1,54,325
1,55,294
1,56,329
1,57,323
1,58,293
1,59,274
1,60,301
1,61,338
1,62,314
1,63,339
1,64,299
1,65,304
1,66,335
1,67,346
1,68,346
1,69,336
1,70,334
1,71,306
1,72,305
1,73,333
1,74,350
1,75,325
1,76,348
1,77,333
1,78,311
1,79,288
1,80,304
1,81,326
1,82,327
1,83,353
1,84,315
1,85,317
1,86,314
1,87,350
1,88,353
1,89,369
1,90,340
1,91,333
1,92,322
1,93,308
1,94,363
1,95,313
1,96,350
1,97,392
1,98,363
1,99,357
1,100,322
1,101,392
1,102,376
1,103,373
1,104,382
1,105,370
1,106,323
1,107,336
1,108,390
1,109,396
1,110,401
1,111,441
1,112,367
1,113,433
1,114,415
1,115,438
1,116,447
1,117,480
1,118,451
1,119,444
1,120,458
1,121,487
1,122,510
1,123,466
1,124,427
1,125,427
1,126,438
1,127,440
1,128,431
1,129,457
1,130,439
1,131,392
1,132,349
1,133,433
1,134,408
1,135,434
1,136,497
1,137,512
1,138,481
1,139,489
1,140,517
1,141,448
1,142,435
1,143,396
1,144,411
1,145,439
1,146,394
1,147,396
1,148,440
1,149,492
1,150,496
1,151,543
1,152,511
1,153,502
1,154,502
1,155,531
1,156,476
1,157,518
1,158,590
1,159,584
1,160,596
1,161,594
1,162,605
1,163,606
1,164,664
1,165,613
1,166,681
1,167,650
1,168,599
1,169,626
1,170,651
1,171,699
1,172,649
1,173,693
1,174,686
1,175,738
1,176,688
1,177,705
1,178,742
1,179,755
1,180,744
1,181,830
1,182,814
1,183,914
1,184,974
1,185,1902
2,1,66
2,2,75
2,3,72
2,4,71
2,5,66
2,6,54
2,7,50
2,8,52
2,9,61
2,10,234
2,11,257
2,12,222
2,13,262
2,14,243
2,15,277
2,16,219
2,17,224
2,18,235
2,19,222
2,20,231
2,21,228
2,22,204
2,23,214
2,24,212
2,25,197
2,26,235
2,27,232
2,28,210
2,29,195
2,30,205
2,31,192
2,32,197
2,33,192
2,34,216
2,35,230
2,36,245
2,37,233
2,38,286
2,39,255
2,40,252
2,41,210
2,42,192
2,43,244
2,44,197
2,45,200
2,46,174
2,47,237
2,48,222
2,49,186
2,50,203
2,51,191
