,0:_ 1:_,,,,,,,,,,,,,,
news_time,vic_gender,vic_location,grade,time_loan,time_ repay,money_orig,money_debts,,naked_loan,suicide,,news,source,,
14/12/2015,1,__,2,2014/10,2015/11,30000,700000,,n,n,,_____,http://news.cnhubei.com/xw/sh/201512/t3478888.shtml,,
19/3/2016,1,__,2,2015/11,2016/3,10000,589500,,n,y,,___,http://www.bjnews.com.cn/inside/2016/03/19/397502.html,,
14/4/2017,0,____,2,2017/2,2017/4,,570000,,y,y,,_____,https://view.inews.qq.com/a/20170414A045AK00?sopenid=oI6CFjubensma48U-3ZwQLy37_v8&openid=o04IBAFFASuVo45pUzDUnJLv8rCo&key=f184402b56b4e2294c27fd026d034907a3141defddd7e0d5f771bd8c9e87d4e2d90a03716eb617c2a6ad812a96e9441f5f8319e9890d9544ab45e93fcb9e7e30371279f2b54e1c044caec6a2cdd9e1c8&version=12020110&devicetype=iMac+MacBookPro12%2C1+OSX+OSX+10.11.6+build(15G1421)&cv=0x12020110&dt=14&lang=en&pass_ticket=UoBzw9KyR%2Fj8WtHez6kSOWqmpEBp2flgaytkw9rBK7MrQX4KvcuM0nCO5f83diVm,,
3/11/2016,1,____,2,2016/8,2016/11,20000,60000,,n,n,,___,http://news.sina.com.cn/s/wh/2016-11-03/doc-ifxxneua3985933.shtml,,
12/4/2017,0,____,2,2016/10,2017/4,80000,260000,,y,n,,____,https://m.antfortune.com/fd-ijfa5nup/share-news.html?detailId=15043705&resourceType=INFO_TYPE_NEWS,,
19/4/2017,1,__,2,2016/12,2017/4,20000,130000,,n,n,,___,http://paper.chinaso.com/bkbl/detail/20170419/1000200033018061492582676186412580_1.html,,
10/3/2017,0,,3,2015/1,,47000,52000,,n,n,,___,http://www.wdzj.com/news/hangye/75040.html,,
24/5/2016,1,____,2,2015/3,2016/5,6000,13354,,n,n,,______,http://tech.qq.com/a/20160524/068025.htm,,
27/5/2016,1,____,,2015/5,2016/5,5300,700000,,n,n,,____,http://www.cnbeta.com/articles/tech/505275.htm,,
15/1/2017,1,____,,2016/10,2016/12,6000,100000,,n,n,,______,https://view.inews.qq.com/a/HNN2017011501727801?sopenid=oI6CFjqojYqllyETQG2UoP_S5oh0&openid=o04IBAFFASuVo45pUzDUnJLv8rCo&key=4f426334ada8c6c24ddc38d7f855e63afda020d14d2877b350a4cd744eccaaa887ae6163af512349fed3252636dee9f479b413e8c4a01563fd27be2325802da0fc406e74cf680603d4b8e393c18d2259&version=12020110&devicetype=iMac+MacBookPro12%2C1+OSX+OSX+10.11.6+build(15G1421)&cv=0x12020110&dt=14&lang=en&pass_ticket=tnNNlQe%2FdttsIu3yY%2Fxa1WEttoE78o8cPZMO8t%2FzTGRsVD%2FNXPN4yOvmVj39KbUS,,
20/4/2016,1,____,2,2015/4,2016/4,2000,220000,,n,n,,____,https://view.inews.qq.com/a/20170421V03CEK00?cur_vid=o0395rtxp50&openid=o04IBAFFASuVo45pUzDUnJLv8rCo&key=d00074ba7dbd93dcf35f921ecd736de72a75d3de3694ce3cd4dcd081d4a73dc0be453e20ffd372e9a9b179d60379dbb6f117688a929cccd7d6dafff96f0afc7eccf7fa92f32a8b29619c42e9a683a4e0&version=12020110&devicetype=iMac+MacBookPro12%2C1+OSX+OSX+10.11.6+build(15G1421)&cv=0x12020110&dt=14&lang=en&pass_ticket=tnNNlQe%2FdttsIu3yY%2Fxa1WEttoE78o8cPZMO8t%2FzTGRsVD%2FNXPN4yOvmVj39KbUS,,
9/4/2017,1,____,,2017/3,2017/4,800,200000,,n,n,,____,https://wx.abbao.cn/a/19585-16eddc317123f186.html,,
10/4/2017,0,____,2,2016/3,2017/3,3700,100000,,n,n,,,https://www.myzaker.com/article/58eb63631bc8e01918000788/,,
6/3/2017,0,__,,2016/6,2016/7,1000,70000,,n,n,,______,http://www.kkkk1111.com/campus/17105.html,,
1/8/2016,0,__,2,2016/3,2016/5,3500,100000,,n,n,,____,http://news.xinhuanet.com/legal/2016-08/01/c_129194621.htm,,
25/8/2016,1,__,3,2015/12,2016/5,3000,100000,,n,n,,____,http://news.xinhuanet.com/fortune/2016-08/25/c_129254139.htm,,
22/8/2016,1,__,1,2015/10,2016/4,1800,6000,,n,n,,____,http://epaper.cqcb.com/html/2016-08/22/content_211305.htm,,
18/10/2016,1,____,,2016/9,2017/10,10000,42000,,n,y,,____,http://enews.xwh.cn/shtml/xwhb/20161018/271537.shtml,,
25/1/2017,1,__,,2016/6,2016/10,50000,1000000,,n,n,,____,https://kuaibao.qq.com/s/SHC2017012501882000,,
20/4/2017,1,__,2,2016/12,2017/4,20000,130000,,n,n,,_____,https://mp.weixin.qq.com/s?__biz=MzA4OTk5OTQyOQ==&mid=2651208866&idx=1&sn=69309c14cb11bfd49f7036b474173005&chksm=8be0cd88bc97449e389948367cec50753fe08cadb18415e544741e879b5785dcb29d5d55a831&mpshare=1&scene=1&srcid=04215LgixTIG196kB0KS8HN2&key=27e59116b734781cd4fd0d2955cae3171bc21ed43360ab4496d9f58d35f8b26bc3630d3854722381ac49d1c9f7b2c21780c1b7cba59607c95bc0afaf3a2676ed57c56c8a2df96632e4b51cf1cdff079b&ascene=0&uin=MTY3ODExOTQxOQ%3D%3D&devicetype=iMac+MacBookPro12%2C1+OSX+OSX+10.11.6+build(15G1421)&version=12020110&nettype=WIFI&fontScale=100&pass_ticket=tnNNlQe%2FdttsIu3yY%2Fxa1WEttoE78o8cPZMO8t%2FzTGRsVD%2FNXPN4yOvmVj39KbUS,,
