种类,原价,现价,,类型
建材,7346.435167,3650.575,0,家装
adsfsd,4624.231176,4044.40678,1,电子产品
图书,2660.045823,1737.845333,3,其他
珠宝配饰会场,2505.684214,2252.754768,4,服装饰品
影音娱乐,2105.972997,1677.45,1,电子产品
女装会场,2043.365014,562.4052525,4,服装饰品
进口尖货,1827.12635,939.0392572,5,进口商品
手机主会场,1741.902099,1695.384545,1,电子产品
灯具灯饰会场,1638.07322,644.6373755,0,家装
车品配件,1496.598444,640.7301406,3,其他
全球家居,1470.008929,301.1134021,0,家装
箱包会场,1402.515707,451.921911,4,服装饰品
男装会场,1304.032878,402.0495643,4,服装饰品
男女鞋靴会场,1214.700588,471.0950013,4,服装饰品
合约机宽带号卡,908.4570872,735.9923134,1,电子产品
全球尖货直采,628.9662447,427.9944206,5,进口商品
手表眼镜会场,619.4625,354.4375,4,服装饰品
品质生鲜,525.530607,277.3995759,6,食品保健
食品主会场,462.0258186,198.3043977,6,食品保健
健康保健会场,380.6345896,140.7720911,6,食品保健
装修会场,370.2468224,24.43807692,0,家装
居家百货,305.7645833,93.25454545,3,其他
美妆主会场,280.1666667,278.8714286,3,其他
内衣会场,202.101083,65.32629124,4,服装饰品
洗护主会场,154.2196429,73.13172619,3,其他
