18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70
131,210,295,378,446,563,675,861,853,825,835,703,562,513,499,471,359,283,294,227,172,181,152,135,123,109,116,128,71,80,69,44,43,57,79,56,29,29,37,53,44,30,30,31,26,28,19,17,10,9,9,4,7
158,267,394,579,775,1047,1329,1837,1862,1885,1896,1643,1439,1293,1249,1291,1025,761,752,647,550,512,447,397,359,348,322,330,212,232,148,136,119,146,168,124,58,63,64,85,69,52,57,57,41,51,38,30,23,18,16,9,11
168,283,423,630,917,1254,1663,2381,2575,2568,2604,2324,2019,1823,1836,1893,1539,1125,1107,958,840,763,671,597,566,528,484,476,337,329,210,207,184,193,241,181,79,87,87,111,91,75,91,82,61,61,52,37,34,26,19,15,14
170,286,435,649,941,1347,1823,2712,3003,3107,3176,2953,2521,2351,2393,2499,2062,1546,1521,1334,1177,1047,912,827,764,716,671,646,474,455,279,280,253,272,315,236,111,121,110,142,124,109,124,112,80,75,65,48,48,35,29,19,15
171,288,436,651,944,1361,1852,2748,3068,3200,3283,3087,2617,2469,2554,2684,2225,1719,1676,1507,1329,1185,1053,951,895,830,779,739,545,512,321,315,292,307,353,264,122,132,117,162,138,126,130,125,89,80,71,55,51,39,32,23,20
9454,18074,30285,39154,46795,55978,64392,96714,108828,104433,103378,86442,68244,65789,57775,57848,42423,32614,37345,28049,22646,28784,20681,16400,16937,9509,15452,16329,10555,12236,7685,5681,5703,6448,9273,7925,3020,3844,4055,4807,4236,2761,3400,3491,2602,2681,2283,1536,901,1114,904,401,803
292190,517520,751358,1749674,3122254,4737482,6656157,10594244,11045625,11462403,11347962,10528237,10191818,8997373,8435946,9377375,7710921,5465784,5417162,4849158,4557084,3872904,3472158,3185991,2631166,2652316,2488287,2519378,1584890,1937850,1026575,1179373,923461,1039491,1102318,759695,392834,410919,284429,405758,346251,238552,338794,333629,152373,254637,223788,176092,182911,118432,109664,19468,39722
796864,1345328,2163530,4102064,9876030,15420200,23418047,39759629,49011187,47952639,49770638,47134723,40751323,37437014,39182730,41323227,35189394,24959596,24404197,21370623,20011456,17565060,15336002,13208545,13501268,11572491,11113981,9954204,7957712,7270311,4156399,4868279,4562218,3701461,4821190,3481245,1642010,1725866,1459164,1732265,1681318,1529509,2231539,1662672,1187071,776334,998408,531267,822381,523863,293836,369887,259730
1341452,1786098,4896147,7812194,14044782,34060450,55058258,106849625,137150121,159138805,168740436,182767742,148406454,154031047,158472471,178837617,151116865,123011762,119008933,106636824,96830091,82866498,71042432,72190249,60096139,52921247,56241789,48713860,38890761,37427419,21139599,21554794,19274860,21407865,22100032,17073785,9950023,9297596,6519302,8049823,8874706,9050990,10138850,7608619,6445574,3981045,3769877,3073017,4129265,2439879,2772527,1014971,738404
3048874,3386219,5497454,8872732,18693796,47391124,86134555,142012723,213481619,244288451,273788956,340070836,258631133,274480353,343914624,400208464,350990245,324160913,329601888,338291655,289016061,267168243,262535062,254668703,259738397,195723958,225307912,197522721,159129638,120718619,72372144,96138536,85235697,75909364,70474208,60016214,28341650,24190664,12577457,34228179,23566209,36455861,17009141,27811569,14176634,13945104,10730202,11513377,8554874,6663980,7301658,7382614,11045275
