省份,性别,年龄,金额
广东,1,9,10000
福建,1,9,607.38
北京,0,11,40005
北京,0,11,100
天津,1,13,20181.37
江西,1,13,10000
广东,0,13,9228
广东,1,14,3901
甘肃,0,15,4200
广东,1,15,1000
江西,0,15,2
广西,1,15,0
江苏,0,16,45191.37
河南,1,16,36703.15
上海,0,16,27340.68
广东,1,16,2900
广西,1,16,1000
四川,0,16,0
福建,1,16,0
广东,1,16,323.81
辽宁,1,16,0
浙江,1,16,3
福建,0,16,30
辽宁,0,16,0
海南,1,16,10
贵州,1,16,0
湖南,1,16,5
甘肃,1,16,0
湖南,0,16,6
河北,1,16,0
广东,0,16,0
陕西,1,16,0
山西,0,16,2
湖南,1,16,4
云南,1,16,1.2
河南,1,16,5003
河南,1,16,100
广东,0,16,100
江苏,1,16,100
河南,1,16,700
广东,1,16,1000001
广东,0,17,40087.12
北京,0,17,10000
湖北,1,17,20000
陕西,1,17,4883.48
广东,1,17,2000
广东,1,17,2001
安徽,0,17,0
江西,0,17,0
广东,1,17,603.44
湖南,0,17,401.63
广东,1,17,0
广东,1,17,101
浙江,1,17,0
福建,1,17,0
四川,1,17,100
山东,1,17,100
福建,1,17,200
江西,1,17,105
广东,1,17,101
广东,0,17,0
四川,0,17,100
天津,1,17,0
广东,1,17,37.87
安徽,1,17,30
江西,1,17,31
安徽,1,17,26
海南,1,17,26
广东,1,17,15
四川,1,17,11.82
河南,1,17,10
广西,1,17,10
浙江,1,17,10
湖南,1,17,0
内蒙古,1,17,0
湖南,1,17,0
广东,1,17,3
广东,1,17,2
广东,1,17,2
辽宁,0,17,0
广东,1,17,2
海南,1,17,0
福建,1,17,0
江西,1,17,0
山西,1,17,2
海南,1,17,2
福建,1,17,5
湖南,1,17,0
广东,1,17,1.1
浙江,1,17,1.1
辽宁,0,17,1.1
四川,1,17,1.1
广东,1,17,0
海南,0,17,0
山东,1,17,100
福建,1,17,100
江苏,0,17,100
广东,0,17,200
吉林,0,17,100
广东,1,17,5000
黑龙江,1,17,100
山东,1,17,100
广东,1,17,100
山东,0,17,10000
内蒙古,1,17,100
安徽,0,17,100
上海,1,17,100
云南,1,17,106
江西,0,17,100
浙江,1,17,100
黑龙江,0,17,100
天津,1,18,1707421.55
陕西,0,18,310082.37
江苏,1,18,77100
广东,0,18,51575.6
北京,0,18,50000
陕西,1,18,81958.63
湖南,0,18,53144.34
福建,1,18,234506.32
广东,1,18,31550
广东,0,18,60087.12
广东,1,18,40087.12
黑龙江,1,18,29089.92
江苏,1,18,18376.42
福建,0,18,10901
湖南,1,18,20849
陕西,1,18,30081.37
福建,1,18,20081.37
上海,0,18,8300
浙江,1,18,7067
浙江,1,18,12000
河南,1,18,12025.56
浙江,1,18,0
山东,0,18,21500
湖南,1,18,2001
河南,1,18,2000
安徽,1,18,0
山东,0,18,1918
湖北,0,18,1834.71
北京,1,18,1000
内蒙古,1,18,1104.43
广西,1,18,623
江西,0,18,0
湖北,1,18,1
河北,1,18,0
广东,1,18,64
广东,1,18,803.12
山西,1,18,205
山东,1,18,18001
山东,1,18,0
辽宁,0,18,200
辽宁,1,18,10160
江苏,1,18,108.95
浙江,0,18,100
陕西,0,18,100
广东,1,18,101
广西,1,18,100
浙江,1,18,100
江西,1,18,101
湖南,0,18,100
海南,1,18,2
四川,1,18,100
福建,1,18,106
广东,1,18,101
河南,1,18,100
江苏,1,18,100
四川,1,18,100
